vente_id,date,prix,rue,arrondissement,surface,pieces,longitude,latitude,prix_m2
2024-1193329,2024-01-12,185000.0,RUE LANTIEZ,17,14.0,1,2.3243,48.89536,13214.29
2024-1193338,2024-01-12,615000.0,RUE DU FBG ST MARTIN,10,72.0,4,2.36673,48.88206,8541.67
2024-1193342,2024-01-12,590000.0,AV DES CHAMPS ELYSEES,8,39.0,1,2.30468,48.87167,15128.21
2024-1193343,2024-01-12,158600.0,RUE ANDRE DEL SARTE,18,17.0,1,2.34716,48.88582,9329.41
2024-1193348,2024-01-12,410000.0,RUE BELGRAND,20,71.0,3,2.40669,48.86437,5774.65
2024-1193357,2024-01-12,283000.0,RUE AUGER,20,30.0,2,2.39941,48.85091,9433.33
2024-1193359,2024-01-12,1247000.0,RUE CROIX DES PETITS CHAMPS,1,72.0,3,2.34068,48.8648,17319.44
2024-1193365,2024-01-12,900000.0,RUE JUSTE METIVIER,18,48.0,2,2.33537,48.88919,18750.0
2024-1193369,2024-01-12,417500.0,RUE D ANNAM,20,41.0,2,2.39544,48.86752,10182.93
2024-1193372,2024-01-12,632488.0,RUE VIEILLE DU TEMPLE,3,42.0,2,2.36436,48.86165,15059.24
2024-1193375,2024-01-12,1448950.0,RUE CHARLES V,4,110.0,3,2.36216,48.85298,13172.27
2024-1193376,2024-01-12,140000.0,RUE D ARTOIS,8,17.0,1,2.30811,48.87238,8235.29
2024-1193409,2024-01-12,316000.0,RUE D ORSEL,18,40.0,2,2.34558,48.88393,7900.0
2024-1193416,2024-01-12,563900.0,RUE PIXERECOURT,20,63.0,3,2.39488,48.87045,8950.79
2024-1193425,2024-01-12,195110.0,RUE FERDINAND FLOCON,18,18.0,1,2.3463,48.89169,10839.44
2024-1193438,2024-01-12,339500.0,RUE TRUFFAUT,17,31.0,2,2.32012,48.88649,10951.61
2024-1193447,2024-01-12,1000000.0,RUE DES HAUDRIETTES,3,97.0,6,2.3583,48.86164,10309.28
2024-1193450,2024-01-12,750047.6,RUE D ORSEL,18,48.0,2,2.34189,48.88367,15625.99
2024-1193452,2024-01-12,400000.0,RUE REBEVAL,19,48.0,2,2.37596,48.87374,8333.33
2024-1193458,2024-01-12,262000.0,RUE DE L ARBRE SEC,1,23.0,1,2.34224,48.8613,11391.3
2024-1193470,2024-01-12,280000.0,RUE SAUFFROY,17,25.0,2,2.32174,48.89264,11200.0
2024-1193493,2024-01-12,256500.0,RUE ORFILA,20,25.0,1,2.3999,48.86753,10260.0
2024-1193500,2024-01-12,703400.0,RUE DU FBG ST MARTIN,10,73.0,3,2.35701,48.8707,9635.62
2024-1193505,2024-01-12,290000.0,RUE DE LA CHAPELLE,18,64.0,3,2.36005,48.89764,4531.25
2024-1193550,2024-01-12,285425.0,RUE ORDENER,18,25.0,2,2.3491,48.89143,11417.0
2024-1193655,2024-01-12,160000.0,RUE MARX DORMOY,18,25.0,1,2.36035,48.88699,6400.0
2024-1193685,2024-01-12,322000.0,VLA DE GUELMA,18,31.0,1,2.33691,48.88298,10387.1
2024-1193708,2024-01-12,170000.0,RUE DE L OURCQ,19,28.0,1,2.37712,48.89243,6071.43
2024-1193709,2024-01-12,800000.0,RUE SAINT-HONORE,1,59.0,2,2.34182,48.8614,13559.32
2024-1193710,2024-01-12,225000.0,RUE BOUCRY,18,28.0,2,2.36237,48.8936,8035.71
2024-1193718,2024-01-12,295000.0,RUE DES DAMES,17,32.0,2,2.32595,48.88523,9218.75
2024-1193740,2024-01-12,476000.0,RUE RIBOUTTE,9,57.0,2,2.34621,48.87618,8350.88
2024-1193747,2024-01-12,390000.0,BD DE CLICHY,18,30.0,2,2.33177,48.8848,13000.0
2024-1193750,2024-01-12,212000.0,AV JEAN JAURES,19,26.0,2,2.38721,48.88764,8153.85
2024-1193761,2024-01-12,150000.0,RUE LAMARCK,18,13.0,1,2.33645,48.89046,11538.46
2024-1193781,2024-01-12,175000.0,RUE AU MAIRE,3,16.0,1,2.35622,48.86453,10937.5
2024-1193825,2024-01-12,657850.0,RUE BAYEN,17,59.0,3,2.29121,48.8828,11150.0
2024-1193852,2024-01-12,445000.0,RUE DE LA PY,20,53.0,3,2.40451,48.8661,8396.23
2024-1193892,2024-01-12,390000.0,RUE NOTRE-DAME DE NAZARETH,3,39.0,2,2.36117,48.86723,10000.0
2024-1193910,2024-01-12,250000.0,RUE ALIBERT,10,28.0,1,2.36774,48.87132,8928.57
2024-1193914,2024-01-12,670000.0,RUE DES PRAIRIES,20,60.0,3,2.40389,48.8628,11166.67
2024-1193983,2024-01-12,751350.0,RUE ACHILLE MARTINET,18,70.0,3,2.33738,48.89223,10733.57
2024-1194089,2024-01-12,197000.0,RUE DU BORREGO,20,33.0,1,2.40053,48.87271,5969.7
2024-1194131,2024-01-12,200000.0,RUE DU TEMPLE,3,16.0,2,2.35787,48.86333,12500.0
2024-1194166,2024-01-12,270980.0,RUE DU FBG DU TEMPLE,10,30.0,2,2.37457,48.87177,9032.67
