vente_id,date,prix,rue,arrondissement,surface,pieces,longitude,latitude,prix_m2,annee
2023-1322065,2023-01-09,240000.0,RUE ORFILA,20,16.0,1,2.39519,48.86592,15000.0,2023
2023-1322079,2023-01-09,495000.0,RUE DU PRE ST GERVAIS,19,63.0,2,2.39264,48.8763,7857.14,2023
2023-1322083,2023-01-09,253000.0,RUE DES MOINES,17,31.0,2,2.3234,48.89308,8161.29,2023
2023-1322085,2023-01-09,264745.0,RUE DES CLOYS,18,40.0,2,2.33943,48.89248,6618.62,2023
2023-1322104,2023-01-09,221510.0,RUE SAINT FARGEAU,20,25.0,1,2.40268,48.8723,8860.4,2023
2023-1322120,2023-01-09,740000.0,RUE DE TOCQUEVILLE,17,68.0,3,2.31331,48.88255,10882.35,2023
2023-1322171,2023-01-09,1050000.0,BD DE MAGENTA,10,80.0,4,2.3596,48.8718,13125.0,2023
2023-1322183,2023-01-09,579000.0,BD BARBES,18,57.0,3,2.34916,48.89119,10157.89,2023
2023-1322190,2023-01-09,1090097.0,RUE MARCEL RENAULT,17,96.0,5,2.29255,48.87992,11355.18,2023
2023-1322196,2023-01-09,947400.0,RUE CONDORCET,9,84.0,4,2.34134,48.88017,11278.57,2023
2023-1322266,2023-01-09,941346.0,RUE LEMERCIER,17,99.0,4,2.32233,48.88716,9508.55,2023
2023-1322277,2023-01-09,342000.0,RUE GRENETA,2,27.0,2,2.34839,48.86519,12666.67,2023
2023-1322284,2023-01-09,405000.0,RUE MOURAUD,20,75.0,4,2.40882,48.85598,5400.0,2023
2023-1322288,2023-01-09,216666.67,RUE DU MONT-THABOR,1,42.0,2,2.329,48.86534,5158.73,2023
2023-1322330,2023-01-09,4750000.0,RUE DES FRANCS BOURGEOIS,3,160.0,4,2.3601,48.85823,29687.5,2023
2023-1322338,2023-01-09,475000.0,RUE MARTEL,10,40.0,2,2.35365,48.87392,11875.0,2023
2023-1322340,2023-01-09,950000.0,QUAI DE LA MARNE,19,101.0,4,2.38178,48.88883,9405.94,2023
2023-1322369,2023-01-09,1375000.0,RUE MARTEL,10,141.0,5,2.35365,48.87392,9751.77,2023
2023-1322412,2023-01-09,470000.0,RUE DE LA MARE,20,46.0,2,2.38866,48.8689,10217.39,2023
2023-1322450,2023-01-09,200000.0,VLA COMPOINT,17,57.0,3,2.32456,48.8921,3508.77,2023
2023-1322498,2023-01-09,298000.0,RUE JEAN JACQUES ROUSSEAU,1,29.0,2,2.34403,48.86404,10275.86,2023
2023-1322527,2023-01-09,1865000.0,SQ MONCEY,9,120.0,5,2.33075,48.88046,15541.67,2023
2023-1322551,2023-01-09,590000.0,RUE PIXERECOURT,20,67.0,3,2.3969,48.87369,8805.97,2023
2023-1322561,2023-01-09,228000.0,RUE JOSEPH DIJON,18,35.0,2,2.34652,48.89384,6514.29,2023
2023-1322600,2023-01-09,135000.0,RUE DE DUNKERQUE,9,10.0,1,2.34735,48.8821,13500.0,2023
2023-1322661,2023-01-09,172200.0,RUE DES ROSES,18,29.0,2,2.36185,48.89338,5937.93,2023
2023-1322674,2023-01-09,245000.0,RUE DE LA JONQUIERE,17,45.0,3,2.32115,48.89426,5444.44,2023
2023-1322822,2023-01-09,565000.0,RUE D HAUTPOUL,19,57.0,3,2.38752,48.8836,9912.28,2023
2023-1322831,2023-01-09,113000.0,RUE PAJOL,18,18.0,1,2.36321,48.89268,6277.78,2023
2023-1322844,2023-01-09,620000.0,RUE DES ACACIAS,17,69.0,3,2.2937,48.87767,8985.51,2023
2023-1322886,2023-01-09,85000.0,RUE HAXO,20,9.0,1,2.40494,48.86996,9444.44,2023
2023-1322914,2023-01-09,274000.0,RUE CUSTINE,18,49.0,2,2.34321,48.88946,5591.84,2023
2023-1322916,2023-01-09,142000.0,CITE DE LA MAIRIE,18,14.0,1,2.34054,48.88458,10142.86,2023
2023-1323006,2023-01-09,620000.0,RUE GAUTHEY,17,65.0,4,2.31998,48.89133,9538.46,2023
2023-1323058,2023-01-09,410000.0,RUE DE CRIMEE,19,49.0,3,2.3752,48.89172,8367.35,2023
2023-1323163,2023-01-09,297500.0,RUE FEUTRIER,18,31.0,2,2.34635,48.88646,9596.77,2023
2023-1323625,2023-01-09,702800.0,RUE MESLAY,3,60.0,3,2.35993,48.8675,11713.33,2023
2023-1340995,2023-01-09,848950.0,BD GARIBALDI,15,72.0,5,2.30792,48.84565,11790.97,2023
